G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:48:16.559898 - 2025-06-29 23:48:18.779794 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:48:22.707599 - 2025-06-29 23:48:27.846658 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:49:39.264410 - 2025-06-29 23:49:41.386057 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:49:57.625889 - 2025-06-29 23:49:59.715296 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:51:11.133071 - 2025-06-29 23:51:16.312681 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:51:23.379576 - 2025-06-29 23:51:28.497251 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:53:59.361778 - 2025-06-29 23:54:01.486156 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:54:42.241934 - 2025-06-29 23:54:44.405425 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:54:48.371968 - 2025-06-29 23:54:53.504448 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:54:57.547245 - 2025-06-29 23:55:05.795984 | Duration: 0:00:08 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:55:09.799352 - 2025-06-29 23:55:11.947290 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:55:18.982463 - 2025-06-29 23:55:21.161147 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:56:17.031936 - 2025-06-29 23:56:19.149033 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:56:29.254904 - 2025-06-29 23:57:08.754522 | Duration: 0:00:39 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:57:12.098004 - 2025-06-29 23:57:14.857492 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:58:16.270418 - 2025-06-29 23:58:19.123293 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:58:49.903657 - 2025-06-29 23:58:52.510732 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-30 00:00:00.236129 - 2025-06-30 00:00:05.648669 | Duration: 0:00:05 | Date: 2025-06-30
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-30 00:00:09.401243 - 2025-06-30 00:00:12.165857 | Duration: 0:00:02 | Date: 2025-06-30
